tiboeuf3,Cornwall,Canada, female , 35-49 ,"['san francisco', ' ca', 'brossard', ' quebec', 'montreal', ' quebec', 'port saint lucie', ' fl', 'cornwall', ' ontario', 'dorval', ' quebec', 'esterel', ' quebec', 'ottawa', ' ontario', 'port hope', ' ontario', 'puerto morelos', 'waterloo', ' ny']","[' usa', ' canada', 'ontario', ' mexico']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
The staff was personable but not too chatty, which I like. The hot stone massage was fantastic but a bit expensive.
"
saffycam,Toronto,Toronto,,,"['isla de vieques', 'montreal', ' quebec', 'new york city', ' ny', 'toronto', ' ontario']","[' puerto rico', ' canada', ' usa']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
The spa was calm, warm and cozy tucked into the lower level of the hotel. It was quiet. The staff were highly professional and accommodating. My masseur Michael was excellent and full of great advice to maintain my blissed out state.
"
CatheryneD,Milan,Italy,,,"['warsaw', 'montreal', ' quebec', 'abu dhabi', 'amsterdam', 'antalya', 'bali', 'bangkok', 'barcelona', 'beirut', 'belek', 'bergamo', 'bodrum city']","[' poland', ' canada', ' united arab emirates', ' the netherlands', ' turkey', ' indonesia', ' thailand', ' spain', ' lebanon', ' italy']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
being a ""massage addict"" and trying all the best SPA around the world, i was very surprised (in a good way) to find such a great masseuse in Montreal .
Yolanta is one of the best masseuse/therapist (probably the best ) i ever had. she is like a doctor who made you feel more healthy after each therapy :)
she...


More 


"
shahadrash,,,,,"['montreal', ' quebec']",[' canada'],[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"The W hotel provided every imaginable service possible. The concierag was available at all times, services never stopped and the staff was very helpful. At one point my sister hurt her foot badly during the stay, the W proceeded to find crutches and a wheelchair to have them ready for when she returned to the hotel later that night. Aside from that, the location is perfect. Within walking distance is st.catherine street, with all the shops and clubs, and old montreal. I absolutely recommend this hotel to everyone"
cksteeve,Winnipeg,Canada, male , 25-34 ,"['las vegas', ' nv', 'los angeles', ' ca', 'rome', 'daytona beach', ' fl', 'montreal', ' quebec', 'bloomington', ' mn', 'san francisco', ' ca', 'florence', 'san diego', ' ca', 'calgary', ' alberta', 'dallas', ' tx', 'vatican city']","[' usa', ' italy', ' canada', ' vatican city']",[u'Love to travel! '],"Croisiere le Montrealais, Montreal",,,4 of 5 stars,"
Had a good time on the boat. It is very romantic for couples. The DJ is a great addition, as well as food and drink! Take the opportunity to sail the sea if you can .
"
CanadianMum,Montreal,Canada, female , 50-64 ,"['calgary', ' alberta', 'montreal', ' quebec', 'edmonton', ' alberta', 'new york city', ' ny', 'washington dc', ' dc', 'vancouver', ' british columbia', 'toronto', ' ontario', 'houston', ' tx', 'miami beach', ' fl', 'radium hot springs', ' british columbia', 'kissimmee', ' fl', 'ottawa', ' ontario']","[' canada', ' usa']",[],"Croisiere le Montrealais, Montreal",,,5 of 5 stars,"We recently had the absolute pleasure of a private dinner cruise aboard the Montrealais. It was an amazing evening with the yacht having many vantage points to view the passing land. There were welcome aboard drinks, appetizers served by wondering waiters and DJ music. The sailing was romantic as we watched the sun set over Montreal and continued down the St. Lawrence. Of course it didn't hurt that it was a blistering hot day, so being on the water was a relief. Dinner was buffet style served by the dance floor and one of several bars on board. The food was creative, plentiful, hot and delicious. Highly recommend jumping aboard if you want a different experience."
Alcyone_12,Montreal,Canada, female , 50-64 ,"['montreal', ' quebec', 'washington dc', ' dc', 'new york city', ' ny', 'grenville', ' quebec', 'new orleans', ' la', 'niagara falls', ' ny', 'san francisco', ' ca', 'turneffe island', 'abadiania', 'abuja', 'addis ababa', 'aguas calientes']","[' canada', ' usa', ' belize', ' brazil', ' nigeria', ' ethiopia', ' peru']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,3 of 5 stars,"
I live in Montreal and twice I have taken visitors to the Amphi-Bus tour. We all found it weird and fun! My favorite part is the view of the Montreal city horizon from the water. Guides are fully bilingual, vehicle is in good shape, and pace is appropriate. Schedules are confusing.
"
bluechina11,Ashburn,Virginia, Female ,,"['ashburn', ' va', 'charleston', ' sc', 'montreal', ' quebec', 'nashville', ' tn', 'savannah', ' ga', 'florence', 'orlando', ' fl', 'paris', 'eastbourne', 'fort myers', ' fl', 'franklin', ' tn', 'leesburg', ' va']","[' usa', ' canada', ' italy', ' france', ' uk']","[u'I am in my early 60\'s. I am married and I like to travel. I don\'t need ""fancy"" but my motto has always been cleanliness and no bugs/rodents. Not too high maintence, I feel. I do expect courteous service. I like to see historical and beautiful places. ']","Montreal Amphi-Bus Tour, Montreal"," Tours
",,2 of 5 stars,"We arrived in time for the 3:00 pm tour, but we were told it was full. So we paid and booked the 5:00 m. We were told to get there 15 minutes early.,we came at 4:40 and were told the tour was at 5:30. We were quite certain she had said 5:00. The driver said she writes the time on our ticket and there it was 5:00. So we had to wait around another 45 min.
I realize that there are people who speak and understand English, and those who speak and understand French. I felt the young girl doing the tour talked WAY too fast, because she was basically doing TWO tours in the amount of time ONE would take. I don't think English was her first language. I am fairly certain French was. She just talked constantly, switching back and forth. I felt it was disconcerting,,and,I was struggling to adapt. She also had a high pitched tone and her voice didn't vary. she seemed to be a sweet girl, and she tried to inject some humor.
The land part was just some crowded streets with not much that I can remember. The water part was neat, except that when the boat engines turned on, it became even harder to get what she was saying. The funny thing about the water part was that she pointed out ugly buildings and told us which ones were voted the worst. I mean, really? We paid $35 each, so $70 total for just under an hour. I would skip this tour."
dangelo5,Canada,Canada,,,"['montreal', ' quebec', 'amalfi', 'bangkok', 'rome']","[' canada', 'bang phli', ' italy', ' thailand']",[],"Spa Principessa, Montreal",,,5 of 5 stars,"I went to Spa Principessa because of a ""Montreal a Rabais"" coupon
Was very impressed with information given over the phone about lipo cavitation treatments.
Was very satisfied with the results with five treatments and did not want to stop so have just
booked another five which may be all I need to achieve totally amazing results.
The spa is super clean and Patrizia and the other staff members are so welcoming and professional.
Also had a pedicure that was perfect.
Filomena"
Shawty311086,London,United Kingdom,,,"['montreal', ' quebec', 'accra', 'addis ababa', 'alicante', 'amsterdam', 'athens', 'atlantic city', ' nj', 'austin', ' tx', 'baltimore', ' md', 'barbados', 'berlin', 'birmingham']","[' canada', ' ghana', ' ethiopia', ' spain', ' the netherlands', ' greece', ' usa', ' caribbean', ' germany', ' uk']",[],"MBIOSPA, Montreal"," Spas
",,5 of 5 stars,"
Dad had a deep tissue massage, mom had a Swedish massage and daughter had a hot stone massage. It was phenomenal. We feel very relaxed and recommend their service! They are professionals and know exactly what they're doing.
We highly recommend them and have booked 2 more sessions!
"
meli618,Montreal,Montreal, female , 25-34 ,"['montreal', ' quebec', 'athens', 'louisbourg', ' nova scotia', 'arlington', ' va', 'asprovalta', 'atlantic city', ' nj', 'bogota', 'boston', ' ma', 'brooklyn', ' ny', 'cambridge', ' ma', 'cambridge', ' ontario', 'cape breton island', ' nova scotia']","[' canada', ' greece', ' usa', ' colombia']",[],"MBIOSPA, Montreal"," Spas
",,4 of 5 stars,"Stephanie is a very good massage therapist. She treated me for shoulder pain and was very attentive and gave me very good stretches to continue treatment. She also recommended the proper treatment (I had originally booked a massage type that would not have been quite as effective). I have also had good experiences with their aestheticians as well, very friendly staff :)"
das90a,Tunbridge Wells,United Kingdom, male , 35-49 ,"['montreal', ' quebec', 'churchill', ' manitoba', 'sydney', 'london', 'tallinn', 'new delhi', 'bristol', 'toronto', ' ontario', 'varanasi', 'agra', 'arezzo', 'ferrara']","[' canada', ' australia', ' uk', ' estonia', ' india', ' italy']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,Great spa with views over old Montreal - in an old ferry that's been converted. The whole set up is amazing with saunas steam rooms etc on all decks with panoramic views as well as pools on the decks - well worth a visit
mbc421,Toronto,Canada,Male ,,"['toronto', ' ontario', 'birmingham', ' al', 'new orleans', ' la', 'new york city', ' ny', 'montreal', ' quebec', 'philadelphia', ' pa', 'ottawa', ' ontario', 'san juan', 'bordeaux', 'honolulu', ' hi', 'istanbul', 'athens']","[' canada', ' usa', ' puerto rico', ' france', ' turkey', ' greece']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,4 of 5 stars,"
You can come here and not get a massage, but the massage is the best part of the whole experience. I had the best massage of my life here and will be back the next time I am in Montreal. My masseur was courteous and simply very good at deep tissue massage.
You will like the nice views of the...


More 


"
Volunteerhelper,Almonte,Ontario,,,"['kanata', ' ontario', 'cornwall', ' ontario', 'new york city', ' ny', 'carleton place', ' ontario', 'ottawa', ' ontario', 'montreal', ' quebec', 'toronto', ' ontario', 'brockville', ' ontario', 'carp', ' ontario', 'kemptville', ' ontario', 'kingston', ' ontario', 'quebec city', ' quebec']","[' canada', ' usa']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,4 of 5 stars,"
Loved the whole atmosphere, eucalyptus steam room, plush bathrobes. Only complaint was there was no safety bar on the cold tubs for folks to use to get in and out of. Great tubs for young kids but for anyone who may have had an injury or hard time getting in there was no way to support yourself so it was...


More 


"
MTLNancy,Montreal,Canada,,,"['montreal', ' quebec', 'tulum']","[' canada', ' mexico']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,2 of 5 stars,"Honestly, i was extremely disappointed with my experience at the spa. Other than the great view at night of the city sky line, it was absolutely not worth it.

I found the facilities to be very dirty (so mch hair and other debris everywhere). I unfortunately forgot my flip flops and was cringing basically the whole time. There is absolutely no perks provided other than some harsh soap/shampoo and heavily scented lotion. At one point i found myself to be extremely thirsty and they has a jug of lemon water avaiable but you had to pay $5 for a dinky reusable cup under the guise of being exo-friendly. I have NEVER been to a spa that didnt have glasswear that was washable and reusable. Not to mention i just have never been to a spa period where i didnt have a choice of tea or various complimentary waters.

The water-circuit staff looked miserable and were unattentive. The counter staff mumbled something long and incoherent at the begining and that was that.

The view was nice but i am NEVER going back there again. I will be sticking to the Spa Scandinave where, for the same proce, you are made to feel as you should in a spa- special,looked after, and not excited to just shower and get clean.

Major bummer."
PatBo747,Ottawa,Canada,,,"['montreal', ' quebec']",[' canada'],[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,4 of 5 stars,"Second time at this spa. This was the first Saturday that I went. The greeter when we arrived told us we were lucky since it was much quieter that day than usual Saturday. It was true, we were often alone in the saunas but the hot tubs were usually busy.

The spa is very unique I'm design. All do the spa is very relaxing and quiet the surrounding view does not offer this. A big run down industrial building right next to the spa. A cruise ship was boarding and leaving duri our visit. These are minor details that are not the spas faults. The views of Old Montreal are very nice.

Will defiantly be going back."
madkatjim,madkatjim,madkatjim, Female ,,"['montreal', ' quebec', 'saint sauveur des monts', ' quebec', 'tofino', ' british columbia', 'la quinta', ' ca', 'mont tremblant', ' quebec', 'amsterdam', 'atlantic city', ' nj', 'bangkok', 'berlin', 'boston', ' ma', 'florence', 'frankfurt']","[' canada', ' usa', ' the netherlands', ' thailand', ' germany', ' italy']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,"Beautiful views of Montreal, while you sit in the hot tub, the ambience is spectacular. the owners used an old boat in the Old Port of Montreal, which puts to great use something that could otherwise be wasted away to nothing."
Flaa04,Montreal,Canada,,,"['montreal', ' quebec', 'orlando', ' fl', 'beijing', 'tampa', ' fl', 'amman', 'new york city', ' ny', 'quebec city', ' quebec', 'shibuya', 'chicago', ' il', 'clearwater', ' fl', 'daytona beach', ' fl', 'kissimmee', ' fl']","[' canada', ' usa', ' china', ' jordan', ' japan']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,2 of 5 stars,"It was my first visiting Bota Bota and it's going to be my last. The receptionist on the first floor was extremely rude and unprofessional, the entire boat is HOT which is not relaxing when it's already hot outside. They did not tell us that if we wanted to sit on the terrace(which is the nicest sitting are on the boat) we had to purchase the water circuit, it would have been nice if they told me that over the phone and not when I wanted to sit there. The massage was horrible, it was not a swedish massage, and I've had enough to know what a swedish massage should be. My friend was shocked when I told her we got swedish massages because it wasn't. The place is overpacked, way to many workers and guests stuffed in a small area. The locker rooms felt like I was at a cheap gym locker room. They smelled and the cleaning lady was trying to clean the area but there was no room for her or for the people that were there. I would not go back, I would rather spend my money at a different spa in the Old Port, there are plenty out there that are more professional, friendlier, and cleaner than this spa. Extremely overrated for what I experienced."
eatplaylove,minneapolis,minneapolis,,,"['montreal', ' quebec', 'scottsdale', ' az', 'denver', ' co', 'chula vista', ' ca', 'encinitas', ' ca', 'fargo', ' nd', 'grand marais', ' mn', 'havana', 'marrakech', 'miami', ' fl', 'new york city', ' ny', 'ouarzazate']","[' canada', ' usa', ' cuba', ' morocco']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,4 of 5 stars,"A little overcrowded, but the facial and massage were excellent aboard this unique sea spa. Perfect for a rainy/snowy day!"
mathmath20132013,Montreal,Canada,,,"['montreal', ' quebec']",[' canada'],[],"MBIOSPA, Montreal"," Spas
",,5 of 5 stars,"I am used to receive deep tissue massage (chinese); I though I could never find better until I went to that place last week. The women who gave me the massage just knew, I don't know how, where to put pressure and how, with long movement. She had very good precise techniques. I though only chinese can be as dedicated and generous into their work, but it seem the massage therapist there are as much."
GordyTraveller,Highland Park,Illinois, male , 35-49 ,"['montreal', ' quebec', 'new york city', ' ny', 'port huron', ' mi', 'chicago', ' il', 'sydney', 'bretton woods', ' nh', 'las vegas', ' nv', 'rockford', ' il', 'orlando', ' fl', 'london', 'madison', ' wi', 'saint joseph', ' mi']","[' canada', ' usa', ' australia', ' uk']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,5 of 5 stars,"Great value tour, and if you only have a few hours like we did, a great way to see the city from a unique perspective. Our tour guide was a younger guy, who apparently learned his English from watching TV and movies, was very knowledgeable and able to easily switch back and forth between French and English without dumbing down either commentary.

He had good humour and clearly knew his stuff. Sure the jokes were corny, but who cares!? Would definitely recommend it. I have been to Montreal several times, and I learned a lot in the short time I was aboard the duck."
Angie_Rom,London,Canada,,,"['london', ' ontario', 'new york city', ' ny', 'montreal', ' quebec', 'hamilton', ' ontario', 'kitchener', ' ontario']","[' canada', ' usa']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,4 of 5 stars,"We (3 adults) loved this tour! We saw it online and knew immediately we had to take it, if only for the pure absurdity of it. But we all ended up loving it!

The guide was great, she was funny and very informative. We had some traffic problems but she was good about thinking up other facts and making light of the situation. The view from the water was beautiful! I recommend this as a light-hearted, fun tour for anyone!"
Rosemary M,Bournemouth,Bournemouth,,,[],[],[],"MBIOSPA, Montreal"," Spas
",,2 of 5 stars,"Went here as a deal on groupon. Called a week in advance to let them know we'd want to use the gym before the massage. The male receptionist said that it wouldn't be a problem, and that we could do things in whatever order we liked on arriving. On arriving, we were told that we HAD to have our massages at that exact time (on arriving), and that we could use all other facilities after. On telling them about what their receptionist had claimed, they didn't care and just pushed us to go forward with the massages. The massage was good except I felt somewhat tense throughout it because of the whole ordeal of not being able to go to the gym as mentioned before. The part of the package: The oxygen bar is right next to the receptionist's desk in the entrance. You literally sit there on display with green tubes hooked in your nose. Felt like the waiting room featured in the film Beetlejuice. We used the gym afterward because we wanted to work out and feel good before going in the pool. The pool is in a room with a low ceiling and it consists of two narrow separated lanes. One of the lanes is reserved for swimming laps. There is one jacuzzi next to the pool. When we were there, a couple was in it with their 2 year old son. It's ideal for people perhaps visiting and staying at the hotel.Women's locker/shower room had cracked ceilings, walls and pealing paint. On making an appointment with with them, make certain to be very clear about every thing."
Marielisediane,Montreal,Montreal, female , 50-64 ,"['montreal', ' quebec', 'rome', 'barcelona', 'ogunquit', ' me', 'monterosso al mare', 'baie-st-paul', ' quebec', 'negril', 'windsor', ' vt', 'brossard', ' quebec', 'cayo ensenachos', 'cozumel', 'jibacoa']","[' canada', ' italy', ' spain', ' usa', ' jamaica', ' cuba', ' mexico']",[],"Spa Principessa, Montreal",,,5 of 5 stars,
KMF0119,Uxbridge,Uxbridge,,,"['montreal', ' quebec', 'niagara falls', ' ontario', 'toronto', ' ontario', 'windsor', ' ontario', 'newmarket', ' ontario', 'niagara falls', ' ny', 'amherst', ' ny', 'buffalo', ' ny', 'markham', ' ontario', 'troy', ' mi', 'uxbridge', ' ontario', 'whitchurch-stouffville', ' ontario']","[' canada', ' usa']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,4 of 5 stars,"
The kids wanted to try this tour, and it was a great choice. There were five of us and it cost $113, which isn't that bad. The guide was very friendly and informative and added humour into the tour. He spoke in French and English and did both very well. You get to learn about the very rich history of...


More 


"
CAJ777,Montreal,Canada,,,"['montreal', ' quebec']",[' canada'],[],"MBIOSPA, Montreal"," Spas
",,4 of 5 stars,"
Mireille, a very knowledgeable masseuse, gave me a truly wonderful massage, very strong (as I had wished) and concentrated on all the rights spots. I look forward to going back again.
"
natbeland,Montreal,Canada,,,"['montreal', ' quebec']",[' canada'],[],"Spa Principessa, Montreal",,,5 of 5 stars,Bravo  toute votre quipe! J'ai dj fait de la microdermabrasion  plusieurs autres endroits mais cet endroit est de loin mon prfr! Quel beau moment j'ai pass et quel soin de qualit j'ai reu. J'ai dj trs hte  mon prochain rendez-vous!!!
Jayce613,Terrebonne,Canada, female , 35-49 ,"['montego bay', 'bavaro', 'lake george', ' ny', 'lucea', 'montreal', ' quebec', 'playa del carmen', 'puerto morelos', 'punta cana']","[' jamaica', ' dominican republic', ' usa', ' canada', ' mexico']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,"Very good experience,
especially at night when you can see all Montreal with the lights it's magic...
even if you don't go there for that, the food was excellent.
I love the entire experience and would definitly go back"
Aaliyahkat,Longueuil,Canada,,,"['montreal', ' quebec']",[' canada'],[],"MBIOSPA, Montreal"," Spas
",,2 of 5 stars,"J'ai achet 2 coupons au mbiospa afin de passer du temps avec ma soeur. Le forfait contenait 60min massage, incluant acces au sauna, jaccuzi, piscine, masque facial, masque d'oxygene, gym et
Stationnement gratuit. Pour notre tout premier visite nous avons eu une acceuil pitoyable, bref. Il fallais attendre une apres l'autre pour le massage...c'est a dire 1h15. Le jacuzzi etait fermer, le Massage etait bien mais jaurai penss mieux. Facial trop long. Et il m'ont conduit toute suite a la caisse (en serviette)... Sans me proposer l'acces au masque d'oxygene inclut dans mon forfait..
En resumer, en attendant la seance de ma soeur, la douche et la sauna etaient excellent...le gym avait bcp de monde mais tres agreable. Sinom ma journee avec ma soeur etais sans doute seulement dans les casiers... Je trouve que c'etais mal fait. Une seance a vivre seule. Et depuis l'acceuil javais juste envie de me faire remboursee mes 2 coupons."
carinefranck,Montreal,Montreal,,,"['montreal', ' quebec', 'puerto vallarta', 'rose hall']","[' canada', ' mexico', ' jamaica']",[],"MBIOSPA, Montreal"," Spas
",,5 of 5 stars,"Cette semaine, j'ai reu des mains expertes de Carolina, une exfoliation  la noix de coco, un enveloppement au chocolat et  la canneberge et un massage absolument divin. Deux heures de pur bonheur. L'endroit est en plein centre-ville, donc facile d'accs, mais trs paisible  l'intrieur. Je le recommande totalement."
sarrmarieme,senegal,senegal,,,"['dakar', 'montreal', ' quebec']","[' senegal', ' canada']",[],"MBIOSPA, Montreal"," Spas
",,4 of 5 stars,"Je travaille en centre ville, et j'ai des grosses pauses, en surfant sur le net j'ai dcouvert le spa Mbiospa. Je n'avais jamais fait de massages bio, donc j'ai test. Il est situ  ct de la place des arts mtro Mc Gill le plus prs. C'est dans l'htel Delta Montral, une fois  l'intrieure des panneaux indiquent le chemin  suivre. C'est assez intimiste, j'ai fait le soin vasion orientale de Panpuri. Cela sent tellement, le massage commence par un gommage coco, puis un masque au th vert et enfin le clou un massage. Le plus c'est j'ai pu aller faire un plongeon dans la piscine c'est compris dans le tarif, ainsi que le gym et le saune mais je n,avais pas le temps.
J'ai ador super produits bio et plein d'avantages (piscine, parking gratuit...)"
sbenhill,Hopewell,New Jersey,,,"['addis ababa', 'positano', 'tulum', 'dearborn', ' mi', 'montreal', ' quebec', 'oban', 'wellfleet', ' ma', 'annapolis', ' md', 'edinburgh', 'glasgow', 'new york city', ' ny', 'portree']","[' ethiopia', ' italy', ' mexico', ' usa', ' canada', ' uk']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,4 of 5 stars,"On a whim, my wife and I booked massages and a water cycle at Bota once we saw the weather forecast. Definitely worth it! We also had a wonderful lunch onboard-the tartare is amazing-followed by three hours of bliss. It's a totally different spa experience--nothing like sitting in the hot tub while looking at the Old Port! It's pretty reasonable to book the water cycle ($55). Once you order lunch and massages the price starts to climb. But forget the other spas in Old Montreal (Les Bains and Rain Spa) and head to Bota--you'll thank me!"
Paine66,Duxbury,Massachusetts, male , 35-49 ,"['boston', ' ma', 'montreal', ' quebec', 'alexandria bay', ' ny', 'paris', 'durham', ' nc', 'watertown', ' ny', 'duxbury', ' ma', 'marshfield', ' ma', 'chicago', ' il', 'clayton', ' ny', 'islamorada', ' fl', 'wilmington', ' nc']","[' usa', ' canada', ' france']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,3 of 5 stars,"My wife and I decided to see Old Montreal via the amphi-bus tour, it seemed to be a great way to see some the city and also the waterfront. We have been on the duck tours in Boston and really enjoy the way they bring some humor into the overall experience.

The tour was presented in both english and french and the narrator transitioned seamlessly between languages. The tour was about 75 minutes and included about 45 minutes of driving though old Montreal and 30 minutes in the water. The guide did a great job of explaining the history of the area and the local landmarks. She mixed in some humor as well helping to create a more relaxed atmosphere.

Overall it was a good way to get familiar with the area and spend a little time on the water. I do wish they added a little more humor to the experience but realize that perhaps this area is a little more serious then the Boston area."
Tomosies,Harriman,New York,,,"['laval', ' quebec', 'montreal', ' quebec', 'secaucus', ' nj', 'drums', ' pa', 'glens falls', ' ny', 'south glens falls', ' ny', 'acadia national park', ' me', 'alexandria', ' va', 'alpha', ' nj', 'anaheim', ' ca', 'arlington', ' va', 'atlantic city', ' nj']","[' canada', ' usa']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,4 of 5 stars,"The Montreal Amphibus Tour, like other duck tours I've been on, is a nice combination of sightseeing bus and boat tour. The tour guide definitely knew the area well, as did the driver/captain. The jokes may have been a little lame at times, but the views were great and the opportunities for photos are many. My only complaint is the price. Like many tours, this is a fun, unique experience, but if you're with a small group it can be a little dissuading."
